,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
143,004170,신세계,161700,2,-6200,-3.69,14417654800,1591965767700,9845181,445995,6.86,0.36,23574,2.47,4000
144,047040,대우건설,3705,2,-20,-0.54,4363658475,1539881873790,415622638,9847,2.98,0.38,1245,0.0,0
145,011210,현대위아,55900,2,-600,-1.06,4503665800,1520205139700,27195083,127286,16.29,0.44,3432,1.52,850
146,017800,현대엘리베이,38850,2,-950,-2.39,3561972300,1518739157250,39092385,35618,4.55,1.09,8538,10.3,4000
147,004490,세방전지,104400,1,1000,0.97,5406984000,1461600000000,14000000,99261,11.75,1.05,8888,0.67,700
148,111770,영원무역,32900,2,-650,-1.94,6144021150,1457847297200,44311468,74013,2.8,0.44,11762,3.95,1300
149,000240,한국앤컴퍼니,14980,2,-240,-1.58,1228188460,1422129895200,94935240,42407,7.58,0.35,1975,4.67,700
150,000080,하이트진로,19990,1,40,0.2,1997681490,1401970883890,70133611,15694,39.04,1.27,512,4.75,950
151,139130,DGB금융지주,8260,1,120,1.47,5034436100,1397144580580,169145833,35751,3.79,0.23,2180,6.66,550
152,280360,롯데웰푸드,147500,1,900,0.61,2188186100,1391599665000,9434574,232340,18.49,0.63,7978,2.03,3000
153,185750,종근당,105300,2,-4000,-3.66,1960692700,1387266426000,13174420,64233,6.61,1.64,15941,1.04,1100
154,009240,한샘,58200,2,-900,-1.52,2722586400,1369674609600,23533928,20648,0.0,2.82,0,7.73,4500
155,161890,한국콜마,56700,1,3500,6.58,29984067100,1338407865900,23605077,28347,249.78,2.0,227,1.06,600
156,375500,DL이앤씨,33950,1,150,0.44,2956420650,1313648500850,38693623,118750,7.26,0.29,4679,1.47,500
157,006280,녹십자,111900,1,500,0.45,1964285400,1307723602200,11686538,113924,0.0,0.98,0,1.34,1500
158,006360,GS건설,14930,2,-170,-1.13,5194788900,1277731645700,85581490,50825,0.0,0.29,0,0.0,0
159,004800,효성,59700,2,-1400,-2.29,2952779600,1257940192500,21071025,123794,19900.0,0.48,3,5.03,3000
160,145720,덴티움,113500,2,-4400,-3.73,8500881600,1256312205000,11068830,53874,10.14,2.11,11193,0.35,400
161,137310,에스디바이오센서,10050,2,-60,-0.59,1343300170,1250997397650,124477353,23079,0.0,0.44,0,0.0,0
162,069620,대웅제약,106500,2,-1900,-1.75,2313688100,1233970237500,11586575,66686,9.99,1.6,10656,0.56,600
163,001120,LX인터내셔널,31600,2,-150,-0.47,12234062750,1224816000000,38760000,63172,9.71,0.5,3255,3.8,1200
164,002710,TCC스틸,46300,2,-950,-2.01,19044761450,1213694171100,26213697,8808,0.0,5.26,0,0.17,80
165,006110,삼아알미늄,81600,1,500,0.62,19146349100,1200492345600,14711916,17332,347.23,4.71,235,0.12,100
166,004000,롯데정밀화학,45900,2,-1150,-2.44,3810648200,1184220000000,25800000,93569,6.42,0.49,7147,4.36,2000
167,005300,롯데칠성,126900,2,-1200,-0.94,2116997700,1177490379600,9278884,145622,7.69,0.87,16499,2.68,3400
168,069960,현대백화점,49850,2,-250,-0.5,3190693550,1166611683850,23402441,204415,0.0,0.24,0,2.61,1300
169,014820,동원시스템즈,40000,1,150,0.38,1624173300,1159651280000,28991282,26401,18.23,1.52,2194,1.5,600
170,000210,DL,54900,2,-300,-0.54,2600805400,1150478031600,20955884,169901,0.0,0.32,0,1.82,1000
171,120110,코오롱인더,41700,2,-750,-1.77,4604646300,1147546094700,27519091,92518,32.53,0.45,1282,3.12,1300
172,009970,영원무역홀딩스,82600,1,400,0.49,531906600,1126299899200,13635592,202971,2.58,0.41,32032,4.81,3970
173,005420,코스모화학,28850,2,-750,-2.53,3858310950,1108077377800,38408228,7677,0.0,3.76,0,0.0,0
174,001740,SK네트웍스,4940,2,-60,-1.2,2051156940,1093112835880,221277902,10690,0.0,0.46,0,4.05,200
175,003620,KG모빌리티,5420,2,-160,-2.87,3445456260,1057948889240,195193522,5791,112.92,0.94,48,0.0,0
176,003090,대웅,17010,2,-540,-3.08,1178352160,988995079800,58141980,22861,4.61,0.74,3692,0.59,100
177,271940,일진하이솔루스,26250,2,-950,-3.49,4017643200,953221237500,36313190,8699,673.08,3.02,39,0.0,0
178,006650,대한유화,146000,2,-6000,-3.95,9350959900,949000000000,6500000,295460,0.0,0.49,0,0.68,1000
179,300720,한일시멘트,13440,1,10,0.07,964827880,930875097600,69261540,22914,5.47,0.59,2457,5.95,800
